string_prologue_Fifi_6004," “그럼 시작해볼까? 먼저 도넛부터 만들어보자. 세 개 이상 같은 블록을 맞추면 도넛이 완성돼. 자, 준비됐지?” ","“Shall we begin? Let’s start by making donuts. Match three or more of the same blocks to complete a donut. Okay, ready?”",“那开始吧？先做甜甜圈。三个以上相同方块连成线就能完成甜甜圈。准备好了吗？”,「那我們開始吧？先從甜甜圈做起。三個以上相同方塊連線就能完成甜甜圈。準備好了嗎？」,「じゃあ始める？まずはドーナツから作ってみよう。同じブロックを3つ以上揃えるとドーナツが完成するよ。さあ、準備はいい？」,"""Sollen wir anfangen? Lass uns anfangen, indem wir Donuts machen. Kombiniere drei oder mehr gleiche Blöcke, um einen Donut fertigzustellen. Okay, bereit?""",,,,,,,,,,,,,
string_ch00_Fifi_6001,"“좋아, 이제 진짜 시작이야. 첫 손님을 맞이할 준비를 해보자.”","“Alright, now let's start. Let’s get ready to welcome our first customer.”",“好，现在正式开始。准备迎接第一位客人吧。”,「好，現在正式開始。準備迎接第一位客人吧。」,「よし、いよいよ本番だ。最初の客を迎える準備をしよう。」,"""Alles klar, lass uns beginnen. Bereiten wir uns vor, unseren ersten Kunden zu begrüßen.""",,,,,,,,,,,,,
string_ch00_meow_6001,"“응, 먼저 도넛부터 만들어야겠지.”","“Yes, we need to make the donuts first.”",“嗯，得先做好甜甜圈才行。”,「嗯，果然還是得先做甜甜圈呢。」,「うん、まずはドーナツを作らなきゃね。」,"""Ja, wir müssen zuerst die Donuts machen.""",,,,,,,,,,,,,
string_ch00_Lulu_6001,“여기서 다시 도넛을 판다고 해서 와봤어!”,“I came here because I heard they were selling donuts again!”,“听说这里又开始卖甜甜圈了，特地跑来看看！”,「聽說這裡又開始賣甜甜圈了，特地跑來看看！」,「ここでまたドーナツを売ると聞いて来たんだ！」,"""Ich bin hergekommen, weil ich gehört habe, es werden wieder Donuts verkauft.""",,,,,,,,,,,,,
string_ch00_Toto_6001,"“옛날 맛 그대로일까, 기대된다!”",“I wonder if it will taste the same as before! I can't wait to try it”,“不知道是不是和从前一样美味，好期待啊！”,「不知道是否還保留著昔日的味道，真令人期待！」,「昔の味そのものかな、楽しみだ！」,"""Ich frage mich, ob es genauso schmecken wird wie früher! Ich kann es nicht erwarten, sie zu probieren.""",,,,,,,,,,,,,
string_ch00_Bambi_6001,“이 거리에 다시 불빛이 켜질지도 모르겠네.”,“Maybe the street will come back to life.”,“说不定这条街又能重新亮起灯火了呢。”,「說不定這條街又能重新亮起燈火了。」,「この通りにまた明かりが灯るかもしれないな。」,"""Vielleicht wird die Straße wieder zum Leben erwachen.""",,,,,,,,,,,,,
string_ch00_Leo_6001,“어서 먹어보고 싶군!”,“I can't wait to try it!”,“真想立刻尝尝看！”,「真想立刻嚐嚐看！」,「早く食べてみたいな！」,"""Ich kann's kaum erwarten, zu probieren!""",,,,,,,,,,,,,
string_ch00_Lulu_6002, “우와… 이 맛이에요! 다시 찾아와서 정말 다행이에요.”,“Wow… it's just like I remembered! I’m so glad I came back.”,“哇…就是这个味道！能重逢真是太好了。”,「哇…就是這個味道！能再訪真是太好了。」,「わあ…この味です！また来られて本当に良かったです。」,"""Wow… es ist genau so wie ich es in Erinnerung habe. Ich bin so froh, dass ich wieder hergekommen bin.""",,,,,,,,,,,,,
string_ch00_Toto_6002,“흠… 정말 담백하고 맛있네요. 오랜만에 이런 기분이에요.”,“Hmm… it’s so simple and delicious. It's very nostalgic.”,“嗯…清淡又美味，久违的满足感。”,「嗯…清甜可口，久違的幸福滋味。」,「ふむ…本当にあっさりして美味しいですね。久しぶりにこんな気分です。」,"""Hmm… es ist so simpel und lecker. Es ist so nostalgisch.""",,,,,,,,,,,,,
string_ch00_Bambi_6002,“달콤하면서도 향긋해요… 앞으로 자주 와야겠는걸요!”,“It’s sweet and fragrant… I should come here often!”,“甜中带着馥郁香气…以后要常来光顾呢！”,「甜中帶香…以後得常來光顧了！」,「甘くて香り高い…これからよく来なきゃね！」,"""Es ist süß und aromatisch… ich sollte oft hierher kommen!""",,,,,,,,,,,99,,
string_ch00_Leo_6002, “너무 맛있었어! 이 가게가 다시 열려서 너무 기쁘구만!”,“It was so delicious! I'm so glad this place is open again!”,“太好吃了！这家店重新开张真是太令人欣喜了！”,「太美味了！這家店重新開張真是太令人開心了！」,「すごく美味しかった！このお店がまた開いて本当に嬉しいよ！」,"""Es war so lecker! Ich freue mich so, dass dieser Laden wieder eröffnet hat.""",,,,,,,,,,,,,
string_ch00_Fifi_6002,"“첫 손님들을 이렇게 만족시키다니, 정말 잘했어!”","""you actually managed to satisfy the first customer. great job!""",“能让首批客人这么满意，干得漂亮！”,「能讓首批客人如此滿意，做得真棒！」,「最初の客をこんなに満足させるなんて、本当に良くやった！」,"""Du hast es geschafft, den ersten Kunden zufriedenzustellen. Gute Arbeit!""",,,,,,,,,,,,,
string_ch00_meow_6002,"“응, 이제부터 본격적으로 시작이겠지.”","“Yeah, I guess it’s really starting now.”",“嗯，这才算是正式开始吧。”,「嗯，接下來才要正式開始呢。」,「うん、これから本格的に始まるんだろうな」,"""Ja, sieht aus als geht's jetzt wirklich los.""",,,,,,,,,,,,,
string_ch00_Fifi_6003, “보상으로 받은 별로 가게를 조금 고쳐보자.”,“Let’s upgrade the shop a little with the stars we got as a reward.”,“用奖励得到的星星把店面稍微修缮一下。”,「用獎勵得到的星星稍微修繕店鋪吧。」,「報酬でもらった星で店を少し直してみよう」,"""Lass uns den Laden mit den Sternen, die wir als Belohnung bekommen haben, etwas ausbauen.""",,,,,,,,,,,,,
string_ch00_meow_6003,"“이제야 가게답네. 오늘은 여기까지, 내일은 더 바쁘겠는걸.”","“Now it looks like a real shop. That’s it for today, tomorrow is going to be busier.”",“这才像样。今天到此为止，明天肯定更忙。”,「這才像個店鋪呢。今天到此為止，明天肯定更忙吧。」,「ようやく店らしくなってきた。今日はここまで、明日はもっと忙しくなるだろうな」,"""Jetzt sieht es wie ein richtiger Laden aus. Das war's für heute, morgen wird mehr los sein.""",,,,,,,,,,,,,
string_ch01_Lulu_6001, “어제 먹은 빵이 너무 맛있어서 친구를 데려왔어!”,"""Hello! yesterday's donut was so good so I brought my friend.""",“昨天吃的面包太好吃了，特地带朋友来！”,「昨天吃的麵包太美味了，特地帶朋友來！」,「昨日食べたパンが美味しすぎて友達を連れてきたよ！」,"""Hallo! Der Donut gestern war so gut, dass ich meine Freundin mitgebracht habe.""",,,,,,,,,,,,,
string_ch01_momo_6001,”잘 부탁드립니다!”,"""Nice to meet you!""",“请多关照！”,「請多關照！」,「よろしくお願いします！」,"""Hallo!""",,,,,,,,,,,,,
string_ch01_Toto_6001,“오늘은 더 기대돼. 또 맛있는 거 있지?”,“I’m even more excited today! Anything else delicious?”,“今天更期待了。还有美味的东西吧？”,「今天更期待了。還有其他美味嗎？」,「今日はもっと楽しみだ。また美味しいものあるよね？」,"""Ich bin heute noch mehr gespannt! Gibt's noch was anderes Leckeres?""",,,,,,,,,,,,,
string_ch01_Fifi_6001,“역시 소문이 빠르네! 벌써 손님이 늘어나고 있어!”,"“Wow, news travels fast! We're already getting more customers.”",“果然消息传得快！客人已经开始多了！”,「果然風聲傳得快！客人已經變多了！」,「さすが噂は早いね！もうお客さんが増えてるよ！」,"""Wow, die Nachricht hat sich schnell verbreitet! Wir bekommen schon mehr Kunden.""",,,,,,,,,,,,,
string_ch01_meow_6001,"""좋아! 이 기세로 가게를 점점 복구시켜 나가자!""","""Alright! Let's keep this momentum going and continue restoring the shop!""",“好！趁这股势头把店面逐步恢复起来吧！”,「好！趁這股氣勢逐步恢復店面吧！」,「よし！この勢いで店を少しずつ復旧させていこう！」,"""Alles klar! Lass uns das Momentum fortsetzen und den Laden weiter wiederaufbauen.""",,,,,,,,,,,,,
string_ch01_Fifi_6002,"“오, 이제 제법 가게 같아졌네. 손님들이 들어와도 따뜻하다고 느낄 거야.”","“Oh, it’s really starting to look like a real shop now, isn't it?”",“哦，现在总算像样了。客人进来也会觉得温暖吧。”,「哦，現在總算像樣了。客人進來也會覺得溫暖呢。」,「お、だいぶ店らしくなってきたね。お客さんが入っても温かく感じられるよ。」,"""Oh, so langsam sieht es wirklich wie ein richtiger Laden aus, oder?""",,,,,,,,,,,,,
string_ch01_meow_6002,"“응, 조금씩 달라지는 걸 보니까 괜히 힘이 나네.”","“Yeah, seeing it change like this makes me feel proud for some reason.”",“嗯，看着一点点变化，莫名就有干劲了。”,「嗯，看著一點點改變，莫名就有幹勁了。」,「うん、少しずつ変わっていくのを見ると、なぜか力が出るね。」,"""Ja. Die Veränderung zu sehen, macht mich irgendwie stolz.""",,,,,,,,,,,,,
string_ch01_Fifi_6003,“이제야 가게가 제 모습을 찾았네. 정말 수고 많았어!”,“The shop has finally taken shape. You’ve worked really hard!”,“店铺终于恢复原貌了。真是辛苦大家了！”,「店面終於恢復原貌了。真的辛苦大家了！」,「ようやく店が本来の姿を戻したね。本当にお疲れ様！」,"""Der Laden hat endlich Form angenommen. Sehr gute Arbeit!""",,,,,,,,,,,,,
string_ch01_meow_6003,"“응, 이제야 진짜 가게다운 가게가 됐네. 다음은 더 큰 꿈을 향해 나아가야지.”","""Yeah, now it's finally a real store. Next, we need to move forward toward a bigger dream.""",“嗯，这才像个真正的店铺。接下来要朝着更大的梦想前进。”,「嗯，現在才真正成為像樣的店鋪。接下來要朝更大的夢想邁進了。」,「うん、ようやく本当の店らしい店になったよ。次はもっと大きな夢に向かって進もう。」,"""Ja, jetzt ist es endlich ein echter Laden. Nun müssen wir nach vorne schauen, zu einem größeren Traum.""",,,,,,,,,,,,,
string_ch01_Fifi_6004,"“도넛 가게가 자리 잡으면, 옆에 작은 카페 공간도 열 수 있을 거야. 손님들이 음료랑 빵을 함께 즐기면 더 좋아하겠지?”","“If the donut shop gets established, we could open a small café next door. Customers would probably love enjoying drinks with their pastries.” ",“等甜甜圈店站稳脚跟，旁边就能开个小咖啡区了。客人能同时享受饮品和面包，肯定更开心吧？”,「等甜甜圈店站穩腳跟，就能在旁邊開個小型咖啡空間。客人們能同時享受飲品和麵包，應該會更喜歡吧？」,「ドーナツ店が落ち着いたら、隣に小さなカフェスペースも開けると思う。お客さんが飲み物とパンを一緒に楽しめたら、もっと喜ぶよね？」,"""Wenn der Donutladen aufgebaut ist, könnten wir ein kleines Café nebenan eröffnen. Die Kunden würden bestimmt gerne Getränke mit ihren Gebäcken genießen.""",,,,,,,,,,,,,
string_ch01_meow_6004,"“좋아, 그럼 다음 목표는 미니 카페 확장이다!”","“Alright, then our next goal is to open a mini cafe!”",“好，那么下个目标就是迷你咖啡厅扩建！”,「好，那麼下個目標就是迷你咖啡廳擴建！」,「よし、じゃあ次の目標はミニカフェ拡張だ！」,"""Alles klar, dann ist unser nächstes Ziel, ein Minicafé zu eröffnen!""",,,,,,,,,,,,,
string_ch02_Fifi_6001,“드디어 카페 공간을 열 수 있게 됐어. 우선은 작은 커피 코너랑 테이블 몇 개만 준비하자.”,"“We can finally make the café area. For now, let’s just prepare a small coffee area and a few tables.”",“终于能开设咖啡空间了。先准备个小咖啡角和几张桌子吧。”,「終於能開設咖啡空間了。先設置小型咖啡區和幾張桌椅吧。」,「ついにカフェスペースを開けられるよ。まずは小さなコーヒーコーナーとテーブルを数台だけ準備しよう。」,"""Endlich können wir den Cafébereich bauen. Lass uns erstmal nur einen kleinen Kaffeebereich und ein paar Tische vorbereiten.""",,,,,,,,,,,,,
string_ch02_meow_6001,"“그래, 도넛과 함께 음료를 즐길 수 있는 곳이 되면 손님들이 더 편하게 웃고 쉴 수 있을 거야.”","“Right, if it becomes a place where people can enjoy drinks with their donuts, customers will be able to smile and relax more comfortably.”",“没错，若能打造出能同时享用甜甜圈和饮品的空间，客人就能更放松地欢笑休憩了。”,「沒錯，若能打造出能同時享用甜甜圈與飲品的空間，客人們就能更自在地微笑休憩了。」,「そうだね、ドーナツと一緒に飲み物を楽しめる場所になれば、お客さんがもっと気軽に笑って休めるはずだよ。」,"Stimmt, wenn die Leute hier Getränke mit ihren Donuts genießen können, wird das die Kunden zum Lächeln bringen und sie werden sich gemütlicher entspannen können.""",,,,,,,,,,,,,
string_ch02_Kiki_6001,“안녕하세요! 저도 소문을 듣고 찾아왔어요. 도넛에 따뜻한 커피라니… 벌써 기대돼요!”,"""Hello! I heard about this place too. Donuts and warm coffee... I'm really looking forward to it!""",“您好！我也听闻盛名专程而来。甜甜圈配热咖啡……现在就期待不已呢！”,「您好！我也聽聞盛名特地前來。甜甜圈配熱咖啡……光想像就令人期待！」,「こんにちは！私も噂を聞いて来ました。ドーナツに温かいコーヒーなんて…もう楽しみです！」,"""Hallo! Ich habe auch von diesem Ort gehört. Donuts und warmer Kaffee… ich freue mich wirklich darauf!""",,,,,,,,,,,,,
string_ch02_Lulu_6001,“처음 봤을 때랑은 정말 달라졌네요! 이제는 카페 같아요.”,“It’s so different from when I first saw it! It’s like a cafe now.”,“和初次见到时真是判若两店！现在简直像咖啡馆了。”,「和初次見到時簡直判若兩地！現在簡直像間咖啡館了。」,「初めて見た時とは本当に変わりましたね！もうカフェみたいだ。」,"""Es ist so anders im Vergleich zu als ich es zum ersten Mal gesehen habe! Jetzt ist es wie ein Café.""",,,,,,,,,,,,,
string_ch02_Leo_6001,"“맞아, 여기 앉아서 도넛에 커피 한 잔 곁들이면 완벽하겠는걸.”","“Yeah, it would be perfect if I could just sit here and have a cup of coffee with a donut.”",“是啊，坐在这里配着甜甜圈喝杯咖啡，简直完美。”,「沒錯，坐在這裡配杯咖啡享用甜甜圈，簡直完美。」,「そうだね、ここに座ってドーナツにコーヒー一杯添えたら完璧だろうな。」,"""Ja, es wäre perfekt, wenn ich hier einfach sitzen könnte und eine Tasse Kaffee mit einem Donut genießen könnte.""",,,,,,,,,,,,,
string_ch02_Fifi_6002,"“하하, 이제 손님들도 더 오래 머물고 싶어 하겠어.”","“Haha, now customers will want to stay longer.”",“哈哈，客人肯定会想多待一会儿了。”,「哈哈，現在客人們肯定會想多待一會兒了。」,「はは、これで客ももっと長く居たがるだろうね。」,"""Haha, jetzt werden die Kunden länger bleiben wollen.""",,,,,,,,,,,,,
string_ch02_meow_6002,"“응, 아직 절반뿐인데도 확실히 변했네.”","“Yeah, it has definitely changed, even though it’s only halfway done.”",“嗯，明明才完成一半，变化就这么明显。”,「嗯，明明才完成一半，變化就這麼明顯。」,「うん、まだ半分だけなのに確かに変わったな。」,"""Ja, es hat sich auf jeden Fall verändert, obwohl es erst halbfertig ist.""",,,,,,,,,,,,,
string_ch02_Fifi_6003,“이제 작은 카페라도 손님들이 머물 수 있는 공간이 완성됐어!”,"“Now we have a space where customers can stay, even if it’s only a small cafe!”",“现在就算只是小咖啡馆，也算给客人准备了休憩的空间啦！”,「現在就算只是小咖啡館，也打造出讓客人能停留的空間了！」,「これで小さなカフェでも、客が居られる空間が完成したよ！」,"""Jetzt haben wir einen Ort, an dem die Kunden bleiben können, auch wenn es nur ein kleines Café ist!""",,,,,,,,,,,,,
string_ch02_meow_6003,"“응, 작은 공간이라도 사람들에게 웃음을 줄 수 있어.”","“Yes, even a small space can bring smiles to people.”",“是啊，哪怕空间不大，也能给人们带来笑容。”,「是啊，即使是小空間，也能為人們帶來笑容。」,「うん、小さな空間でも人々に笑顔を届けられる。」,"""Ja, auch ein kleiner Ort, kann Leute zum Lächeln bringen.""",,,,,,,,,,,,,
string_ch02_Fifi_6004,“…근데 있잖아. 넌 왜 이렇게까지 가게를 다시 살리고 싶은 거야?”,“…But you know. Why do you want to revive this shop so badly?”,“……不过话说回来，你为什么这么执着于重振这家店呢？”,「……不過呢。你為什麼這麼執著於重振這間店呢？」,「…でもね。どうしてそこまで店を復活させたいの？」,"""…Aber weißt du. Warum willst du diesen Laden so unbedingt wiederbeleben?""",,,,,,,,,,,,,
string_ch02_meow_6004, “……아직은 말해줄 수 없어. 때가 되면 반드시 말해줄게”,“……I can’t tell you yet. I promise I’ll tell you when the time is right.”,“……现在还不能说。时机到了我一定会告诉你的”,「……現在還不能說。時機到了我一定會告訴你」,「……まだ言えない。時が来たら必ず話すから」,"""…… Das kann ich dir noch nicht sagen. Ich verspreche dir, ich werde es dir zur richtigen Zeit erzählen.""",,,,,,,,,,,,,
string_ch02_Fifi_6005,“…알았어. 무슨 이유든 네가 이렇게까지 하는 데엔 분명한 사정이 있겠지. 솔직히 걱정도 되지만… 지금까지 함께 해온 걸 보면 믿을 수밖에 없네.”,"""...Okay. Whatever it is, there must be a clear reason why you're doing this. Honestly, I'm a bit worried, but... seeing as we've been together so far, I have no choice but to trust you.""",“……明白了。无论什么原因，你这么做肯定有充分的理由。说实话虽然有点担心……但想到我们一路走来的经历，我只能选择相信你。”,「……明白了。無論什麼理由，你如此堅持必定有深意。說實話雖然擔心……但看你至今的付出，我只能相信你。」,「…わかった。どんな理由にせよ、君がここまでやるのには確かな事情があるんだろう。正直心配だけど…今まで一緒にやってきたことを考えると、信じるしかないね」,"""… Okay. Was immer es ist, es muss einen guten Grund geben, warum du das hier machst. Ehrlich gesagt mach ich mir ein bisschen Sorgen, aber… da wir das bis hierhin zusammen gemacht haben, hab ich keine andere Wahl als dir zu vertrauen.""",,,,,,,,,,,,,
string_ch02_Fifi_6006,"“자, 이제 카페도 자리를 잡았으니 다음은 빵집이야. 더 다양한 빵이 있어야 손님들이 계속 찾아올 테니까.”","""Now that the café is settled, the next step is a bakery. We need a wider variety of breads so customers will keep coming back.""",“好了，咖啡馆站稳脚跟后，接下来该开面包店了。只有提供更多种类的面包，才能让客人持续光顾。”,「好，咖啡廳站穩腳跟後，接下來是麵包坊。只有提供更多樣化的麵包，客人才會持續光顧。」,「さあ、カフェも落ち着いてきたし次はパン屋だね。もっと様々なパンがあれば、お客さんが何度も来てくれるだろうから」,"""Jetzt wo das Café errichtet ist, ist der nächste Schritt eine Bäckerei. Wir brauchen eine größere Auswahl an Gebäck, damit die Kunden immer wiederkommen.""",,,,,,,,,,,,,
string_ch02_meow_6005,"“그래, 카페에 이어 빵집까지… 이 거리에 진짜 활기가 돌게 해보자.”","""Yeah, from the café to the bakery… let’s really bring this street to life.""",“没错，继咖啡馆之后再开面包店…让我们让这条街真正焕发活力吧。”,「沒錯，繼咖啡廳之後再開麵包坊……讓我們讓這條街真正充滿活力吧。」,「そうだね、カフェに続いてパン屋まで…この通りに本当の活気を取り戻そう」,"""Ja, vom Café bis zur Bäckerei… lass uns die Straße richtig beleben.""",,,,,,,,,,,,,
string_ch03_Fifi_6001,"“이제는 본격적인 카페로 가야지. 에스프레소 머신, 디저트 진열대까지 갖추면 제대로 된 카페다운 멋이 날 거야.”","""Now it's time to move on to a full-fledged café. With an espresso machine and a dessert display case, it'll look like a proper café.""",“现在该打造真正的咖啡馆了。配备意式咖啡机和甜点展示柜，才能展现专业咖啡馆的风范。”,「該打造專業咖啡館了。配備義式咖啡機、甜點展示櫃，才能展現真正咖啡館的風采。」,「そろそろ本格的なカフェにしよう。エスプレッソマシン、デザートショーケースまで揃えれば、ちゃんとしたカフェらしい風格が出るよ」,"""Jetzt ist es Zeit, einen Schritt weiterzugehen, zu einem voll ausgestatteten Café mit Espresso Maschine und einer Gebäckvitrine. Es wird wie ein echtes Café aussehen.""",,,,,,,,,,,,,
string_ch03_meow_6001,"“후후… 메뉴판에 빈칸이 많아서 좀 허전했거든. 케이크랑 마카롱이 채워지면, 손님들이 더 오래 머물겠지.”","""Haha... The menu had a lot of blank spots, so it felt a bit bare. Once we fill it with cakes and macarons, customers will probably stay longer.”",“呵呵…菜单上空位太多总觉得空荡荡的。等蛋糕和马卡龙填满后，客人就能多待会儿了。”,「呵呵…菜單上空白處太多，總覺得空蕩蕩的。等蛋糕和馬卡龍上架後，客人就能久坐了。」,「ふふ…メニュー表に空きスペースが多くて、少し寂しかったんだ。ケーキとマカロンが埋まれば、お客さんがもっと長く滞在してくれるだろう」,"""Haha… Das Menü hatte einige Lücken, deshalb wirkte es sehr leer. Wenn wir es mit Kuchen und Macarons füllen, werden die Kunden bestimmt noch länger bleiben.""",,,,,,,,,,,,,
string_ch03_Fifi_6002,“허전한 건 메뉴판이 아니라 네 얼굴 같은데? 긴장 풀어. 네 손은 이미 베테랑이야.”,"“Forget the empty menu. what really needs filling is that smile of yours. Relax, your hands already work like a veteran.”",“空荡荡的不是菜单而是你那张脸吧？放松点，你这双手早就是老手了。”,「空蕩蕩的不是菜單，是你臉上那副表情吧？放鬆點，你的手藝早已是老手了。」,「寂しいのはメニュー表じゃなくて、君の顔じゃない？緊張を解いて。君の手はすでにベテランだよ」,"""Vergiss das leere Menü. Was wirklich gefüllt werden muss, ist dein Lachen. Entspann dich, deine Hände arbeiten schon wie von selbst.""",,,,,,,,,,,,,
string_ch03_meow_6002, “으음… 아직도 어설픈 초보라 생각하는데. 그래도 하나씩 채워보자.”,"“Hmm… I still feel like a clumsy beginner. But let’s keep filling it in, one step at a time.”",“唔…我自认还是笨手笨脚的新手呢。不过还是慢慢填满吧。”,「唔…我還是覺得自己像個笨手笨腳的新手。不過就慢慢填滿吧。」,「うーん…まだ未熟な初心者だと思うけど。それでも一つずつ埋めていこう」,"""Hmm… ich fühle mich immer noch wie ein tollpatschiger Anfänger. Aber lass uns Schritt für Schritt alles füllen.""",,,,,,,,,,,,,
string_ch03_Uni_6001,“안녕~! 여기 소문난 카페 맞지? 오늘은 달콤한 거 잔뜩 먹고 갈 거야.”,"“Hello~! This is the famous cafe, right? I’m going to eat a lot of sweets today.”",“你好呀~！这里就是传说中的咖啡馆吧？今天要吃个够甜的才走。”,「嗨～！這裡就是傳說中的咖啡館吧？今天要吃個夠甜的才走。」,「こんにちは～！ここ噂のカフェだよね？今日は甘いものをたっぷり食べて帰るよ。」,"""Hallo! Das ist das berühmte Café, stimmt's? Ich werd heute ganz viel Süßes essen.""",,,,,,,,,,,,,
